,,,人口密度,人口,面積(km2),
252,岩手県,一戸町,38.30950238,11494,30003,1.797242964
253,宮城県,仙台市,1394.676671,1096704,78635,4.333716255
254,宮城県,石巻市,252.7292399,140151,55455,3.258472142
255,宮城県,塩竈市,3005.354059,52203,1737,4.627800115
256,宮城県,気仙沼市,183.933943,61147,33244,2.962090752
257,宮城県,白石市,114.3465512,32758,28648,2.63584147
258,宮城県,名取市,801.772255,78718,9818,4.030442275
259,宮城県,角田市,189.629228,27976,14753,3.001148765
260,宮城県,多賀城市,3190.807517,62827,1969,4.650775416
261,宮城県,岩沼市,728.9991729,44068,6045,3.975301551
262,宮城県,登米市,141.8362588,76037,53609,2.766800689
263,宮城県,栗原市,80.29440994,64637,80500,2.316484779
264,宮城県,東松島市,385.9624877,39098,10130,3.603101666
265,宮城県,大崎市,159.7997013,127330,79681,2.856404365
266,宮城県,富谷市,1050.244002,51651,4918,4.200459506
267,宮城県,蔵王町,74.71046261,11418,15283,2.259046525
268,宮城県,七ヶ宿町,4.796837584,1262,26309,1.080413555
269,宮城県,大河原町,943.2172869,23571,2499,4.126938541
270,宮城県,村田町,136.0806328,10666,7838,2.750717978
271,宮城県,柴田町,708.3287063,38271,5403,3.96611143
272,宮城県,川崎町,30.81951472,8345,27077,1.670878805
273,宮城県,丸森町,44.86644713,12262,27330,1.8914417
274,宮城県,亘理町,449.5516304,33087,7360,3.685812751
275,宮城県,山元町,186.5283369,12046,6458,2.980470994
276,宮城県,松島町,248.7490665,13323,5356,3.244686962
277,宮城県,七ヶ浜町,1374.677786,18132,1319,4.329121195
278,宮城県,利府町,783.7380263,35182,4489,4.012062033
279,宮城県,大和町,127.6597632,28786,22549,2.711659966
280,宮城県,大郷町,95.26886965,7813,8201,2.48190695
281,宮城県,大衡村,96.96618037,5849,6032,2.493394601
282,宮城県,色麻町,61.2920937,6698,10928,2.121194716
283,宮城県,加美町,47.63279571,21943,46067,1.928202183
284,宮城県,涌谷町,187.2930867,15388,8216,2.982768524
285,宮城県,美里町,319.9626617,23994,7499,3.430786904
286,宮城県,女川町,98.39326702,6430,6535,2.514072372
287,宮城県,南三陸町,74.81640147,12225,16340,2.261344055
288,秋田県,秋田市,339.5675831,307672,90607,3.504307869
